schema_version,status,failure_class,run_id,scenario_id,experiment_name,experiment_category,allocator,seed,warmup_iterations,measured_repetitions,params_hash,run_timestamp_utc,os_name,os_version,arch,compiler_name,compiler_version,build_type,build_flags,cpu_model,cpu_cores_logical,cpu_cores_physical,phase_duration_ns,repetition_min_ns,repetition_max_ns,repetition_mean_ns,repetition_median_ns,repetition_p95_ns,alloc_ops_total,free_ops_total,bytes_allocated_total,bytes_freed_total,peak_live_count,peak_live_bytes,final_live_count,final_live_bytes,ops_per_sec_mean,throughput_bytes_per_sec_mean,failed_alloc_count,fallback_count,reserved_bytes,overhead_ratio,overhead_ratio_req
summary.v5,"valid","none","run_6_seed0","null|seed=0|reps=5","null","test","none",0,3,5,00000000,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,,,,,,,,,,,,,,,,,,,,,
summary.v5,"valid","none","run_6_seed0","simple_alloc|seed=0|reps=5","simple_alloc","allocation","DefaultAllocator",0,3,5,00000000,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,,,,,,,100397,50755,3631382,1837680,10029,363945,0,0,965773.004713,34935969.249788,0,,,,
summary.v5,"valid","none","run_6_seed0","article1/malloc/fifo/fixed_small|seed=42|reps=5","article1/malloc/fifo/fixed_small","article1","malloc",42,3,5,243f7daf,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,102109400,100657000,102664500,102002600.000000,102289800,102664500,255687,250465,8181984,8014880,1000,32000,0,0,1061458.443902,33966670.204861,0,,,,
summary.v5,"valid","none","run_6_seed0","article1/malloc/fifo/variable_size|seed=42|reps=5","article1/malloc/fifo/variable_size","article1","malloc",42,3,5,419f87ec,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,104155500,102856000,105334100,104045140.000000,104155500,105334100,255917,250235,66577682,65118655,1000,268051,0,0,1017915.309446,256929967.426710,0,,,,
summary.v5,"valid","none","run_7_seed0","article1/malloc/fifo/churn|seed=42|reps=5","article1/malloc/fifo/churn","article1","malloc",42,3,5,e5b22861,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,208147600,204063500,208250700,206865160.000000,207093800,208250700,503652,500000,20167642,20019735,500,21056,0,0,1073652.566030,43233841.528881,0,,,,
summary.v5,"valid","none","run_8_seed0","article1/malloc/lifo/fixed_small|seed=42|reps=5","article1/malloc/lifo/fixed_small","article1","malloc",42,3,5,9b012b2e,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,104572900,103024300,105539700,104051540.000000,103759300,105539700,255687,250465,8181984,8014880,1000,32000,0,0,1070549.191735,34257574.135532,0,,,,
summary.v5,"valid","none","run_8_seed0","article1/malloc/lifo/variable_size|seed=42|reps=5","article1/malloc/lifo/variable_size","article1","malloc",42,3,5,6349c7f1,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,105078200,103140500,105558700,104846940.000000,105078200,105558700,255917,250235,66577682,65123240,1000,257167,0,0,969551.243207,126077699.836631,0,,,,
summary.v5,"valid","none","run_9_seed0","article1/malloc/lifo/churn|seed=42|reps=5","article1/malloc/lifo/churn","article1","malloc",42,3,5,690771bc,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,205161400,202572300,206804600,204935160.000000,205161400,206804600,503652,500000,20167642,20020675,500,20245,0,0,1080847.384349,43523562.472979,0,,,,
summary.v5,"valid","none","run_10_seed0","article1/malloc/random/fixed_small|seed=42|reps=5","article1/malloc/random/fixed_small","article1","malloc",42,3,5,3df3a31d,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,104294800,104294800,107558000,106098900.000000,106101700,107558000,255687,250465,8181984,8014880,1000,32000,0,0,1070549.191735,34257574.135532,0,,,,
summary.v5,"valid","none","run_10_seed0","article1/malloc/random/variable_size|seed=42|reps=5","article1/malloc/random/variable_size","article1","malloc",42,3,5,96fcf41a,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,106343000,106343000,108304400,107417780.000000,107499100,108304400,255917,250235,66577682,65101089,1000,271192,0,0,940353.384802,122280892.959574,0,,,,
